Opening file "testfile.txt"...
Reading contents of testfile.txt...
Indexing words in testfile.txt...
Counting words...
Ordering types by number of tokens...
the : 42
of : 33
and : 32
to : 30
is : 22
for : 21
by : 20
this : 19
or : 18
project : 15
gutenberg : 14
etext : 14
you : 11
library : 10
we : 9
shakespeare : 9
be : 9
are : 9
get : 9
information : 8
one : 8
a : 8
copyright : 7
your : 7
etexts : 7
world : 7
our : 7
any : 6
may : 6
copies : 6
complete : 6
in : 6
that : 6
other : 5
at : 5
million : 5
not : 5
cd : 5
files : 5
william : 5
1 : 5
new : 5
electronic : 5
please : 5
inc : 5
works : 5
so : 4
have : 4
since : 4
small : 4
readable : 4
long : 4
future : 4
will : 4
print : 4
ftp : 4
file : 4
used : 4
do : 4
with : 4
gut : 4
donations : 4
it : 4
charges : 4
give : 3
statement : 3
about : 3
version : 3
ibc : 3
should : 3
time : 3
has : 3
as : 3
all : 3
txt : 3
2 : 3
000 : 3
if : 3
hart : 3
characters : 3
per : 3
such : 3
month : 3
illinois : 3
more : 3
distribute : 3
college : 3
conditions : 3
benedictine : 3
distributed : 3
from : 3
email : 3
use : 3
date : 3
internet : 2
no : 2
shaks12 : 2
made : 2
hundred : 2
prepared : 2
domain : 2
encouraged : 2
permission : 2
download : 2
copy : 2
these : 2
an : 2
need : 2
dollars : 2
work : 2
cooperation : 2
readers : 2
service : 2
author : 2
login : 2
hypertext : 2
10 : 2
intended : 2
presented : 2
commercial : 2
year : 2
etext93 : 2
their : 2
away : 2
mget : 2
public : 2
each : 2
first : 2
prohibited : 2
uiuc : 2
them : 2
1993 : 2
edu : 2
others : 2
including : 2
books : 2
cso : 2
personal : 2
s : 2
but : 2
includes : 2
number : 2
tm : 2
trillion : 2
those : 2
zip : 2
only : 2
provided : 2
2001 : 2
further : 2
like : 2
form : 2
1990 : 2
distribution : 2
try : 2
license : 2
commercially : 2
machine : 2
presentation : 2
hour : 2
when : 2
program : 2
would : 2
bitnet : 2
see : 2
often : 2
100 : 2
users : 2
on : 2
produce : 2
membership : 2
text : 2
than : 2
 : 1
value : 1
send : 1
under : 1
take : 1
failed : 1
central : 1
tilde : 1
who : 1
exact : 1
cdroms : 1
estimated : 1
processing : 1
goal : 1
comment : 1
point : 1
il : 1
0238 : 1
proud : 1
_ : 1
versions : 1
com : 1
selected : 1
100th : 1
official : 1
certain : 1
hundreds : 1
reputation : 1
too : 1
edited : 1
x : 1
uiucvmd : 1
does : 1
least : 1
expected : 1
material : 1
etc : 1
editions : 1
read : 1
named : 1
conservative : 1
check : 1
based : 1
next : 1
extent : 1
proprietary : 1
deductible : 1
1971 : 1
anyone : 1
limited : 1
trademark : 1
look : 1
then : 1
stated : 1
vanilla : 1
entertainment : 1
archives : 1
newsletter : 1
director : 1
now : 1
december : 1
compressed : 1
honor : 1
allowable : 1
although : 1
how : 1
midnight : 1
newsletters : 1
also : 1
plain : 1
attmail : 1
underline : 1
legal : 1
dollar : 1
hours : 1
list : 1
edition : 1
right : 1
go : 1
law : 1
estimate : 1
contacting : 1
wish : 1
punctuation : 1
sizes : 1
subscriptions : 1
61825 : 1
directly : 1
either : 1
unlike : 1
b : 1
contain : 1
1994 : 1
replacement : 1
paper : 1
443 : 1
posted : 1
thus : 1
size : 1
sure : 1
anonymous : 1
vmd : 1
ever : 1
end : 1
mac : 1
upping : 1
neither : 1
compuserve : 1
o : 1
free : 1
etext91 : 1
netcom : 1
links : 1
matters : 1
week : 1
resulting : 1
additional : 1
entered : 1
analyzed : 1
two : 1
mcimail : 1
preliminary : 1
bin : 1
shaks13 : 1
subject : 1
corrected : 1
proofread : 1
password : 1
thousand : 1
releases : 1
set : 1
tax : 1
prefer : 1
sources : 1
bug : 1
advisor : 1
less : 1
release : 1
scrambles : 1
texts : 1
michael : 1
included : 1
etext92 : 1
asterisk : 1
refund : 1
page : 1
productivity : 1
letters : 1
champaign : 1
word : 1
nor : 1
projected : 1
mail : 1
p : 1
up : 1
titles : 1
fails : 1
can : 1
suggestion : 1
executive : 1
0index : 1
below : 1
january : 1
fix : 1
click : 1
thanks : 1
allowed : 1
type : 1
separate : 1
welcome : 1
call : 1
both : 1
box : 1
searched : 1
education : 1
mrcnext : 1
general : 1
